date,value
2021-07-27,171938297.0
2021-07-28,178502746.0
2021-07-29,186961834.0
2021-07-30,182028907.0
2021-07-31,147698876.0
2021-08-01,129616475.0
2021-08-02,163104486.0
2021-08-03,189045484.0
2021-08-04,169170288.0
2021-08-05,164878115.0
2021-08-06,167461770.0
2021-08-07,136369062.0
2021-08-08,116806789.0
2021-08-09,140335290.0
2021-08-10,160188659.0
2021-08-11,155561320.0
2021-08-12,155923524.0
2021-08-13,159719001.0
2021-08-14,133015893.0
2021-08-15,88843879.0
2021-08-16,134643625.0
2021-08-17,158135106.0
2021-08-18,157368450.0
2021-08-19,151969096.0
2021-08-20,149727375.0
2021-08-21,126491947.0
2021-08-22,107285500.0
2021-08-23,139457988.0
2021-08-24,165060668.0
2021-08-25,172295091.0
2021-08-26,170060492.0
2021-08-27,194676452.0
2021-08-28,159442459.0
2021-08-29,124109987.0
2021-08-30,143095156.0
2021-08-31,150264371.0
2021-09-01,183389498.0
2021-09-02,140213315.0
2021-09-03,129322660.0
2021-09-04,99311367.0
2021-09-05,98437231.0
2021-09-06,105752019.0
2021-09-07,149343569.0
2021-09-08,156657298.0
2021-09-09,149652186.0
2021-09-10,127056502.0
2021-09-11,137022777.0
2021-09-12,97695124.0
2021-09-13,130862238.0
2021-09-14,102177992.0
2021-09-15,127497123.0
2021-09-16,131705817.0
2021-09-17,120304428.0
2021-09-18,151236857.0
2021-09-19,96479113.0
2021-09-20,95757537.0
2021-09-21,110722658.0
2021-09-22,112826022.0
2021-09-23,129418185.0
2021-09-24,132424936.0
2021-09-25,90276913.0
2021-09-26,76385947.0
2021-09-27,132888754.0
2021-09-28,106037055.0
2021-09-29,138080456.0
2021-09-30,118585335.0
2021-10-01,103357052.0
2021-10-02,92721854.0
2021-10-03,68327302.0
2021-10-04,83851356.0
2021-10-05,107416112.0
2021-10-06,100554510.0
2021-10-07,96989567.0
2021-10-08,112908659.0
2021-10-09,95761573.0
2021-10-10,83641911.0
2021-10-11,75184440.0
2021-10-12,101063615.0
2021-10-13,96755862.0
2021-10-14,95952409.0
2021-10-15,95711375.0
2021-10-16,73181344.0
2021-10-17,72325118.0
2021-10-18,90321359.0
2021-10-19,118567113.0
2021-10-20,124842067.0
2021-10-21,100262087.0
2021-10-22,114228097.0
2021-10-23,84405573.0
2021-10-24,86908282.0
2021-10-25,82954556.0
2021-10-26,118596524.0
2021-10-27,115525142.0
2021-10-28,119215305.0
2021-10-29,137186924.0
2021-10-30,145246049.0
2021-10-31,84108115.0
2021-11-01,91987704.0
2021-11-02,99351282.0
2021-11-03,127016274.0
2021-11-04,126836399.0
2021-11-05,115356764.0
2021-11-06,103690450.0
2021-11-07,99646728.0
2021-11-08,118527785.0
2021-11-09,134725127.0
2021-11-10,146250022.0
2021-11-11,135977396.0
2021-11-12,147801743.0
2021-11-13,126072586.0
2021-11-14,87794613.0
2021-11-15,102179702.0
2021-11-16,121803878.0
2021-11-17,136934630.0
2021-11-18,126316969.0
2021-11-19,124463756.0
2021-11-20,134435798.0
2021-11-21,86738217.0
2021-11-22,116351642.0
2021-11-23,134064648.0
2021-11-24,146598747.0
2021-11-25,125943502.0
2021-11-26,158904391.0
2021-11-27,107046870.0
2021-11-28,124744416.0
2021-11-29,128881245.0
2021-11-30,155028849.0
2021-12-01,167888912.0
2021-12-02,161492547.0
2021-12-03,144851183.0
2021-12-04,152648550.0
2021-12-05,99983653.0
2021-12-06,118119440.0
2021-12-07,140453606.0
2021-12-08,138479228.0
2021-12-09,155963562.0
2021-12-10,140560306.0
2021-12-11,175612537.0
2021-12-12,103272263.0
2021-12-13,125051491.0
2021-12-14,169793630.0
2021-12-15,162521273.0
2021-12-16,154330155.0
2021-12-17,176824027.0
2021-12-18,155827699.0
2021-12-19,108749897.0
2021-12-20,166217549.0
2021-12-21,175332595.0
2021-12-22,152260716.0
2021-12-23,160769238.0
2021-12-24,133414832.0
2021-12-25,126577015.0
2021-12-26,85096401.0
2021-12-27,129069751.0
2021-12-28,168720215.0
2021-12-29,181402393.0
2021-12-30,140891056.0
2021-12-31,136689837.0
2022-01-01,76321428.0
2022-01-02,70621860.0
2022-01-03,122149091.0
2022-01-04,138929315.0
2022-01-05,148181763.0
2022-01-06,146235507.0
2022-01-07,166731346.0
2022-01-08,96290797.0
2022-01-09,108483075.0
2022-01-10,124383425.0
2022-01-11,165132045.0
2022-01-12,138332225.0
2022-01-13,142736983.0
2022-01-14,109821199.0
2022-01-15,121265477.0
2022-01-16,103417247.0
2022-01-17,128436425.0
2022-01-18,95256837.0
2022-01-19,161400533.0
2022-01-20,124337477.0
2022-01-21,121462071.0
2022-01-22,99698326.0
2022-01-23,73624179.0
2022-01-24,89780468.0
2022-01-25,112230843.0
2022-01-26,110751751.0
2022-01-27,104361276.0
2022-01-28,106603680.0
2022-01-29,81382197.0
2022-01-30,73096704.0
2022-01-31,82851055.0
2022-02-01,80520129.0
2022-02-02,86019243.0
2022-02-03,83202431.0
2022-02-04,90493545.0
2022-02-05,81663953.0
2022-02-06,61408211.0
2022-02-07,74196672.0
2022-02-08,107523477.0
2022-02-09,119963347.0
2022-02-10,94005879.0
2022-02-11,127730396.0
2022-02-12,84005356.0
2022-02-13,78621205.0
2022-02-14,85787104.0
2022-02-15,96022330.0
2022-02-16,96093093.0
2022-02-17,111570392.0
2022-02-18,103141201.0
2022-02-19,96054952.0
2022-02-20,58561665.0
2022-02-21,80217356.0
2022-02-22,88009631.0
2022-02-23,88815109.0
2022-02-24,98444904.0
